Y,X,Capacity Source,Short Name,Movement,State,Smoothed Occupancy (%),Smoothed Total Flow (veh/h),System,
-37.700075,144.8952,Upper Limit,14951GB_P1,Freeway MVT on Western Ring Rd NEB between Pascoe Vale Rd Off-ramp Start From M80 Nwb & Tullamarine ,OK,11.43,3312.67,VicRoads Production,
-37.777903,144.793711,Upper Limit,14919GB_P0,Freeway MVT on Western Ring Rd NEB between Tilburn Rd Add Ln & Western Ring Rd And Western Hwy Off R,OK,12.00,5782.09,VicRoads Production,
-37.777851,144.793728,Upper Limit,14919GB_P1,Freeway MVT on Western Ring Rd NEB between Tilburn Rd Add Ln & Western Ring Rd And Western Hwy Off R,OK,12.03,5796.74,VicRoads Production,
-37.70534,144.888484,Measured,14949GB_P0,Freeway MVT on Western Ring Rd NEB between Tullamarine Fwy Off Ramp (eb) & Pascoe Vale Rd Off-ramp S,OK,8.98,4360.42,VicRoads Production,
-37.705302,144.888532,Measured,14949GB_P1,Freeway MVT on Western Ring Rd NEB between Tullamarine Fwy Off Ramp (eb) & Pascoe Vale Rd Off-ramp S,OK,8.90,4343.44,VicRoads Production,
-37.768902,144.796737,Measured,14921GB_P0,Freeway MVT on Western Ring Rd NEB between Western Hwy (overpass) & Western Hwy On Ramp (ob),Fault,8.63,4673.44,VicRoads Production,
-37.768865,144.796788,Measured,14921GB_P1,Freeway MVT on Western Ring Rd NEB between Western Hwy (overpass) & Western Hwy On Ramp (ob),OK,9.35,4752.28,VicRoads Production,
-37.704167,144.887774,Upper Limit,1276B_P0,Freeway MVT on Western Ring Rd NEB between Western Ring Rd (eb) Melrose Dve On Ramp (eb) & Join From,OK,14.52,3085.02,VicRoads Production,
-37.70412,144.887806,Upper Limit,1276B_P1,Freeway MVT on Western Ring Rd NEB between Western Ring Rd (eb) Melrose Dve On Ramp (eb) & Join From,OK,14.61,3074.71,VicRoads Production,
-37.751478,144.830866,Measured,14929GB_P0,Freeway MVT on Western Ring Rd NEB between Western Ring Rd And Sunshine Ave Off Ramp (ob) & M80 3l T,Fault,11.11,5172.40,VicRoads Production,
-37.751443,144.830917,Lower Limit,14929GB_P1,Freeway MVT on Western Ring Rd NEB between Western Ring Rd And Sunshine Ave Off Ramp (ob) & M80 3l T,Fault,11.16,5173.85,VicRoads Production,
-37.748116,144.835985,,14930GB_LP0,Freeway MVT on Western Ring Rd NEB between Western Ring Rd And Sunshine Ave On Ramp (ob) & Keilor Pa,Unknown,,,VicRoads Production,
-37.748083,144.836039,,14930GB_LP1,Freeway MVT on Western Ring Rd NEB between Western Ring Rd And Sunshine Ave On Ramp (ob) & Keilor Pa,Unknown,,,VicRoads Production,
-37.746231,144.839111,,7888IB_L,Freeway MVT on Western Ring Rd NEB between Western Ring Rd And Sunshine Ave On Ramp (ob) & Keilor Pa,Unknown,,,VicRoads Production,
-37.725791,144.862132,Measured,14941GB_P0,Freeway MVT on Western Ring Rd NEB between Western Ring Rd Split Before Calder Fwy (nb) & Calder Fwy,OK,9.58,4289.47,VicRoads Production,
-37.725753,144.862182,Measured,14941GB_P1,Freeway MVT on Western Ring Rd NEB between Western Ring Rd Split Before Calder Fwy (nb) & Calder Fwy,OK,9.57,4307.46,VicRoads Production,
-37.802665,144.805679,Upper Limit,7871GB_P0,Freeway MVT on Western Ring Rd NWB between Boundary Rd On Ramp (ob) & Fitzgerald Rd Off Ramp (ob),Failed,,,VicRoads Production,
-37.802627,144.805631,Upper Limit,7871GB_P1,Freeway MVT on Western Ring Rd NWB between Boundary Rd On Ramp (ob) & Fitzgerald Rd Off Ramp (ob),Failed,,,VicRoads Production,
-37.806461,144.807555,Upper Limit,14908GB_L_P0,Freeway MVT on Western Ring Rd NWB between Boundary Rd On Ramp (ob) & Fitzgerald Rd Off Ramp (ob),Failed,,,VicRoads Production,
-37.8064,144.807552,Upper Limit,14908GB_L_P1,Freeway MVT on Western Ring Rd NWB between Boundary Rd On Ramp (ob) & Fitzgerald Rd Off Ramp (ob),Failed,,,VicRoads Production,
-37.800841,144.799901,Upper Limit,14910GB_L_P0,Freeway MVT on Western Ring Rd NWB between Boundary Rd On Ramp (ob) & Fitzgerald Rd Off Ramp (ob),Fault,15.63,5817.55,VicRoads Production,
-37.802293,144.805202,Upper Limit,14909GB_L_P0,Freeway MVT on Western Ring Rd NWB between Boundary Rd On Ramp (ob) & Fitzgerald Rd Off Ramp (ob),OK,15.28,5494.36,VicRoads Production,
-37.802261,144.805151,Upper Limit,14909GB_L_P1,Freeway MVT on Western Ring Rd NWB between Boundary Rd On Ramp (ob) & Fitzgerald Rd Off Ramp (ob),OK,15.54,5193.63,VicRoads Production,
